component,time frequency,stream,field name,long name,units,time averaging
atm,mon,cam.h0,FSNTC,Clearsky net solar flux at top of model,W/m2,mean
atm,mon,cam.h0,FSNT,Net solar flux at top of model,W/m2,mean
atm,mon,cam.h0,FSNTOAC,Clearsky net solar flux at top of atmosphere,W/m2,mean
atm,mon,cam.h0,FSNTOA,Net solar flux at top of atmosphere,W/m2,mean
atm,mon,cam.h0,ICEFRAC,Fraction of sfc area covered by sea-ice,fraction,mean
atm,mon,cam.h0,ICIMR,Prognostic in-cloud ice mixing ratio,kg/kg,mean
atm,mon,cam.h0,ICLDIWP,In-cloud ice water path,kg/m2,mean
atm,mon,cam.h0,ICLDTWP,In-cloud cloud total water path (liquid and ice),kg/m2,mean
atm,mon,cam.h0,ICWMR,Prognostic in-cloud water mixing ratio,kg/kg,mean
atm,mon,cam.h0,IWC,Grid box average ice water content,kg/m3,mean
atm,mon,cam.h0,LANDFRAC,Fraction of sfc area covered by land,fraction,mean
atm,mon,cam.h0,LHFLX,Surface latent heat flux,W/m2,mean
atm,mon,cam.h0,LWCF,Longwave cloud forcing,W/m2,mean
atm,mon,cam.h0,ncl_a1DDF,ncl_a1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_a1_logm,ncl_a1 log concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a1_logv,ncl_a1 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a1SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,ncl_a2DDF,ncl_a2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_a2_logm,ncl_a2 log concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a2_logv,ncl_a2 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a2SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,ncl_a3DDF,ncl_a3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_a3_logm,ncl_a3 log concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a3_logv,ncl_a3 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a3SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,ncl_c1DDF,ncl_c1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_c1,ncl_c1 in cloud water,kg/kg,mean
atm,mon,cam.h0,ncl_c1SFWET,ncl_c1 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,ncl_c2DDF,ncl_c2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_c2,ncl_c2 in cloud water,kg/kg,mean
atm,mon,cam.h0,ncl_c2SFWET,ncl_c2 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,ncl_c3DDF,ncl_c3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_c3,ncl_c3 in cloud water,kg/kg,mean
atm,mon,cam.h0,ncl_c3SFWET,ncl_c3 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_a1DDF,num_a1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_a1_logm,num_a1 log concentration,kg/kg,mean
atm,mon,cam.h0,num_a1_logv,num_a1 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,num_a1SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_a2DDF,num_a2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_a2_logm,num_a2 log concentration,kg/kg,mean
atm,mon,cam.h0,num_a2_logv,num_a2 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,num_a2SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_a3DDF,num_a3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_a3_logm,num_a3 log concentration,kg/kg,mean
atm,mon,cam.h0,num_a3_logv,num_a3 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,num_a3SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_c1DDF,num_c1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_c1,num_c1 in cloud water,kg/kg,mean
atm,mon,cam.h0,num_c1SFWET,num_c1 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_c2DDF,num_c2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_c2,num_c2 in cloud water,kg/kg,mean
